num,polygon
2,"[[0.0, 0.0], [17.0, -116.3], [132.6, -171.6], [377.1, -163.9], [465.0, -109.4], [473.2, -77.1], [453.5, 16.6], [338.9, -34.3], [111.4, -38.5], [107.9, -39.1]]"
2,"[[0.0, 0.0], [35.3, -52.0], [57.2, -55.8], [369.5, 307.9], [379.7, 391.8], [369.9, 582.9], [292.7, 642.0], [226.3, 348.8], [30.8, 113.7], [27.5, 109.1]]"
2,"[[0.0, 0.0], [300.0, -47.4], [442.1, -89.6], [750.7, -77.6], [697.5, -11.1], [643.3, -36.2], [448.4, -38.6], [318.7, 38.9]]"
4,"[[0.0, 0.0], [43.9, -111.8], [93.5, -80.0], [74.9, -67.8], [72.5, -33.1], [102.6, 53.6], [71.0, 88.4]]"
2,"[[0.0, 0.0], [10.3, -33.0], [162.4, -33.8], [161.8, 159.3], [10.6, 159.2]]"
1,"[[0.0, 0.0], [12.6, -52.6], [54.9, -51.4], [63.4, -28.9], [189.3, -30.3], [196.3, -58.3], [232.3, -62.0], [248.0, -30.2], [368.1, -28.9], [378.5, -53.1], [421.0, -50.8], [426.8, -9.4], [404.8, -0.2], [302.0, -2.7]]"
1,"[[0.0, 0.0], [5.4, -275.2], [19.4, -275.4], [27.1, 0.1]]"
2,"[[0.0, 0.0], [36.3, -27.8], [92.1, 3.8], [172.1, 4.6], [197.9, 23.4], [287.5, 26.5], [306.4, 48.6], [374.6, 28.0], [386.6, 39.4], [381.7, 55.6], [318.6, 71.4], [43.8, 20.2]]"
1,"[[0.0, 0.0], [17.3, -72.1], [540.6, -88.4], [1029.6, -70.8], [1046.1, 0.2], [1031.2, 11.5], [967.3, -34.6], [743.8, -39.8], [687.1, 7.0], [538.5, 6.6], [523.4, -27.0], [508.1, 6.7], [359.5, 7.4], [303.8, -39.2], [79.1, -34.6], [15.1, 11.5]]"
1,"[[0.0, 0.0], [78.7, -54.5], [525.5, -11.9], [1031.9, -40.8], [1033.9, 2.3], [536.2, 32.8]]"
2,"[[0.0, 0.0], [20.5, -13.0], [72.7, 41.9], [49.4, 59.0], [8.3, 24.3]]"
4,"[[0.0, 0.0], [5.8, -8.8], [9.8, -6.3], [220.1, -2.7], [309.7, -7.8], [468.9, -107.8], [696.9, -276.5], [742.5, -235.5], [380.0, 24.0], [332.8, 49.9], [261.0, 54.2], [83.3, 42.9], [62.6, 36.7]]"
2,"[[0.0, 0.0], [19.3, -218.2], [62.9, -244.6], [272.9, -247.1], [311.4, -220.6], [356.7, -136.2], [585.7, 53.9], [508.1, 43.7], [388.7, -48.5], [317.5, -34.8], [332.3, -141.8], [306.0, -202.9], [264.4, -234.8], [72.3, -232.0], [36.8, -212.2], [37.2, 0.7]]"
