num,polygon
4,"[[1261.26,192.16],[946.95,98.16],[549.39,75.02],[204.51,88.0],[-179.07,198.53],[86.48,20.33],[552.21,-6.34],[1037.46,29.83],[1224.02,119.5]]"
1,"[[0.0,0.0],[80.3,-117.7],[407.1,26.6],[1227.9,26.7],[1558.7,-117.9],[1634.9,1.2],[1309.1,137.1],[819.8,161.2],[329.7,137.1]]"
4,"[[5.92,-28.47],[16.74,-26.54],[48.34,4.41],[68.37,-5.01],[72.12,-27.43],[97.55,-27.93],[97.8,-4.54],[81.01,27.42],[35.11,41.42],[3.04,7.46]]"
8,"[[0.87,-2.13],[18.78,-18.92],[43.34,-18.91],[61.36,-1.31],[61.49,24.06],[43.49,41.95],[18.43,42.0],[-0.15,23.86]]"
2,"[[40.91,21.26],[31.79,2.15],[-43.34,-59.11],[-15.73,-75.51],[46.69,-28.56],[100.27,-74.92],[114.42,-52.03],[55.49,30.62]]"
2,"[[28.04,78.93],[13.43,71.65],[-83.22,-3.18],[-89.92,-32.21],[155.25,-47.81],[165.3,-40.66],[165.88,-7.33],[176.79,83.21],[74.65,82.1]]"
2,"[[243.77,155.92],[232.44,185.81],[95.01,179.03],[-28.88,185.81],[-36.15,182.23],[-53.51,152.13],[-35.2,155.85],[96.11,148.42]]"
2,"[[554.15,244.4],[483.24,329.42],[263.94,264.94],[71.11,326.38],[-41.01,326.43],[-47.09,306.45],[127.92,177.57],[212.28,149.5],[344.57,164.11]]"
2,"[[370.08,-178.45],[266.51,-158.4],[160.53,-171.53],[-97.47,-158.83],[-95.83,-192.72],[251.07,-204.96]]"
4,"[[479.88,261.06],[433.08,337.66],[258.19,279.54],[105.73,257.02],[52.08,265.48],[-24.08,310.79],[-173.36,338.47],[15.24,205.99],[98.19,179.23],[229.57,193.83],[235.64,231.89],[353.76,204.24]]"
